title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
The Last Black Man in San Francisco,2019,3rd St btwn Evans and Oakdale,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.38772 37.74244),10,2026-02-20T16:44:43.000,Bayview Hunters Point,-122.38772,2026-02-20T16:37:46.000,37.74244
The Pursuit of Happyness,2006,Golden Gate Park Children's Playground,Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,CA,San Francisco,POINT (-122.4572935 37.7682469),7,2026-02-20T16:44:43.000,Golden Gate Park,-122.4572935,2026-02-20T16:37:46.000,37.7682469
Tales of the City,2019,Green btwn Jasper and Bannam,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4078236 37.8001418),3,2026-02-20T16:44:43.000,North Beach,-122.4078236,2026-02-20T16:37:46.000,37.8001418
Stigmata,1999,19th and Kansas St.,,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer Distributing,Rupert Wainwright,Tom Lazarus,Patricia Arquette,Gabriel Byrne,,CA,San Francisco,POINT (-122.4031951 37.7609071),10,2026-02-20T16:44:43.000,Potrero Hill,-122.4031951,2026-02-20T16:37:46.000,37.7609071
The OA Part II,2019,Pier 43,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4133446 37.8092691),3,2026-02-20T16:44:43.000,North Beach,-122.4133446,2026-02-20T16:37:46.000,37.8092691
Dawn of the Planet of the Apes,2014,Columbus & Pacific Ave,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,CA,San Francisco,POINT (-122.4055351 37.7970715),3,2026-02-20T16:44:43.000,Chinatown,-122.4055351,2026-02-20T16:37:46.000,37.7970715
High Crimes,2002,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,CA,San Francisco,POINT (-122.4065082 37.7974835),3,2026-02-20T16:44:43.000,Chinatown,-122.4065082,2026-02-20T16:37:46.000,37.7974835
A View to a Kill,1985,Potrero Hill,The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,CA,San Francisco,POINT (-122.4011391 37.7597412),10,2026-02-20T16:44:43.000,Potrero Hill,-122.4011391,2026-02-20T16:37:46.000,37.7597412
Chance - Season 1 Pilot,2016,1055 Montgomery St.,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4041296 37.7989409),3,2026-02-20T16:44:43.000,North Beach,-122.4041296,2026-02-20T16:37:46.000,37.7989409
The Dead Pool,1988,710 Steiner Street (Hayes Valley),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.4327231 37.7760676),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4327231,2026-02-20T16:37:46.000,37.7760676
A Man on The Inside,2024,Oracle Park,,"Universal Television, LLC",Netflix,Morgan Sackett,Michael Schur,Ted Danson,Mary Elizabeth Ellis,Lilah Richcreek Estrada,CA,San Francisco,POINT (-122.3892168 37.7784136),6,2026-02-20T16:44:43.000,Mission Bay,-122.3892168,2026-02-20T16:37:46.000,37.7784136
Pushing Dead,2016,"915 Naples, San Francisco",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4353078 37.715051),11,2026-02-20T16:44:43.000,Excelsior,-122.4353078,2026-02-20T16:37:46.000,37.715051
To the Ends of the Earth,1948,,,Kennedy-Buckman Pictures,Columbia Pictures,Robert Stevenson,Jay Richard Kennedy,Dick Powell,Signe Hasso,Maylia,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Cardinal X,2015,3639 Taraval St,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,CA,San Francisco,POINT (-122.5053735 37.7415774),4,2026-02-20T16:44:43.000,Sunset/Parkside,-122.5053735,2026-02-20T16:37:46.000,37.7415774
This Is Us,2022,Lombard Street at Hyde,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,CA,San Francisco,POINT (-122.4196461 37.8020026),3,2026-02-20T16:44:43.000,Russian Hill,-122.4196461,2026-02-20T16:37:46.000,37.8020026
Dirty Harry,1971,The Embarcadero,,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.3976732 37.7992627),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3976732,2026-02-20T16:37:46.000,37.7992627
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,Lilli Palmer,CA,San Francisco,POINT (-122.4133739 37.7918593),3,2026-02-20T16:44:43.000,Nob Hill,-122.4133739,2026-02-20T16:37:46.000,37.7918593
Birth of the Dragon,2016,Spofford between Clay and Washington,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,CA,San Francisco,POINT (-122.40602 37.79426),3,2026-02-20T16:44:43.000,Chinatown,-122.40602,2026-02-20T16:37:46.000,37.79426
Basic Instinct,1992,2930 Vallejo Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,CA,San Francisco,POINT (-122.4457056 37.7941209),2,2026-02-20T16:44:43.000,Pacific Heights,-122.4457056,2026-02-20T16:37:46.000,37.7941209
High Crimes,2002,Maiden Lane,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,CA,San Francisco,POINT (-122.4053532 37.7882182),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4053532,2026-02-20T16:37:46.000,37.7882182
Zodiac,2007,SF Chronicle Building (901 Mission St),,Paramount Pictures,Paramount Pictures,David Fincher,James Vanderbilt,Jake Gyllenhaal,Mark Ruffalo,,CA,San Francisco,POINT (-122.4065207 37.7822008),6,2026-02-20T16:44:43.000,South of Market,-122.4065207,2026-02-20T16:37:46.000,37.7822008
Goliath,2021,Bush Street at Grant Avenue,,Amazon Studios,Amazon Prime Video,Lawrence Trilling,Jennifer Ames,J.K. Simmons,Jena Malone,Lenora Crichlow,CA,San Francisco,POINT (-122.4055626 37.7905824),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4055626,2026-02-20T16:37:46.000,37.7905824
Chance - Season 1 ep105,2016,"The Drew School, 2901 California",,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.442352 37.787638),2,2026-02-20T16:44:43.000,Pacific Heights,-122.442352,2026-02-20T16:37:46.000,37.787638
Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,SF Cable Cars are the only moving National Historical Landmark.,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller,,,CA,San Francisco,POINT (-122.4210347 37.8068789),2,2026-02-20T16:44:43.000,Russian Hill,-122.4210347,2026-02-20T16:37:46.000,37.8068789
Hulk,2003,Telegraph Hill,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,CA,San Francisco,POINT (-122.4052612 37.8009425),3,2026-02-20T16:44:43.000,North Beach,-122.4052612,2026-02-20T16:37:46.000,37.8009425
Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.417608 37.7919369),3,2026-02-20T16:44:43.000,Nob Hill,-122.417608,2026-02-20T16:37:46.000,37.7919369
Terminator - Genisys,2015,Pine and Leavenworth,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4155765 37.7902607),3,2026-02-20T16:44:43.000,Nob Hill,-122.4155765,2026-02-20T16:37:46.000,37.7902607
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2026-02-20T16:44:43.000,Nob Hill,-122.4100923,2026-02-20T16:37:46.000,37.7923883
